style,maxBars,end_bars_ago,window_from,window_to,trade_count,win_rate,expectancy_r,total_r,profit_factor,max_drawdown_pct
SCALP,1000,0,2026-07-15T08:30:00Z,2026-07-30T05:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,0,2026-07-15T08:30:00Z,2026-07-30T05:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,0,2026-07-15T08:30:00Z,2026-07-30T05:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,250,2026-07-10T15:00:00Z,2026-07-27T11:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,250,2026-07-10T15:00:00Z,2026-07-27T11:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,250,2026-07-10T15:00:00Z,2026-07-27T11:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,500,2026-07-07T21:30:00Z,2026-07-22T18:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,500,2026-07-07T21:30:00Z,2026-07-22T18:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,500,2026-07-07T21:30:00Z,2026-07-22T18:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,750,2026-07-03T01:00:00Z,2026-07-20T01:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,750,2026-07-03T01:00:00Z,2026-07-20T01:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,750,2026-07-03T01:00:00Z,2026-07-20T01:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,1000,2026-06-30T07:30:00Z,2026-07-15T08:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,1000,2026-06-30T07:30:00Z,2026-07-15T08:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,1000,2026-06-30T07:30:00Z,2026-07-15T08:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,1250,2026-06-25T14:00:00Z,2026-07-10T14:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,1250,2026-06-25T14:00:00Z,2026-07-10T14:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,1250,2026-06-25T14:00:00Z,2026-07-10T14:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,1500,2026-06-22T20:30:00Z,2026-07-07T21:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,1500,2026-06-22T20:30:00Z,2026-07-07T21:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,1500,2026-06-22T20:30:00Z,2026-07-07T21:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,1750,2026-06-17T23:00:00Z,2026-07-02T23:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,1750,2026-06-17T23:00:00Z,2026-07-02T23:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,1750,2026-06-17T23:00:00Z,2026-07-02T23:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,2000,2026-06-15T06:30:00Z,2026-06-30T07:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,2000,2026-06-15T06:30:00Z,2026-06-30T07:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,2000,2026-06-15T06:30:00Z,2026-06-30T07:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,2250,2026-06-10T13:00:00Z,2026-06-25T13:45:00Z,1,0.0,-0.14,-0.14,0.0,0.0
DAY,1000,2250,2026-06-10T13:00:00Z,2026-06-25T13:45:00Z,1,0.0,-0.12,-0.12,0.0,0.0
POSITIONAL,1000,2250,2026-06-10T13:00:00Z,2026-06-25T13:45:00Z,1,0.0,-0.11,-0.11,0.0,0.0
SCALP,1000,2500,2026-06-05T19:30:00Z,2026-06-22T20:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,2500,2026-06-05T19:30:00Z,2026-06-22T20:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,2500,2026-06-05T19:30:00Z,2026-06-22T20:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,2750,2026-06-03T03:00:00Z,2026-06-17T22:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,2750,2026-06-03T03:00:00Z,2026-06-17T22:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,2750,2026-06-03T03:00:00Z,2026-06-17T22:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,3000,2026-05-29T09:30:00Z,2026-06-15T06:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,3000,2026-05-29T09:30:00Z,2026-06-15T06:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,3000,2026-05-29T09:30:00Z,2026-06-15T06:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,3250,2026-05-26T15:30:00Z,2026-06-10T12:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,3250,2026-05-26T15:30:00Z,2026-06-10T12:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,3250,2026-05-26T15:30:00Z,2026-06-10T12:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,3500,2026-05-21T19:30:00Z,2026-06-05T19:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,3500,2026-05-21T19:30:00Z,2026-06-05T19:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,3500,2026-05-21T19:30:00Z,2026-06-05T19:15:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,3750,2026-05-19T03:00:00Z,2026-06-03T02:45:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,3750,2026-05-19T03:00:00Z,2026-06-03T02:45:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,3750,2026-05-19T03:00:00Z,2026-06-03T02:45:00Z,0,0.0,0.0,0.0,0.0,0.0
SCALP,1000,4000,2026-05-14T09:30:00Z,2026-05-29T09:15:00Z,0,0.0,0.0,0.0,0.0,0.0
DAY,1000,4000,2026-05-14T09:30:00Z,2026-05-29T09:15:00Z,0,0.0,0.0,0.0,0.0,0.0
POSITIONAL,1000,4000,2026-05-14T09:30:00Z,2026-05-29T09:15:00Z,0,0.0,0.0,0.0,0.0,0.0
